no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0.0,0.0,1.0,0.0,1.0,1.0,1.0,124.0,4.0,5483.46
1.0,0.0,0.0,0.0,1.0,1.0,0.0,133.0,4.0,5473.06
1,0,1,1,1,1,0,221,2,-1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,49.0,2.0,5419.97
0,1,1,0,0,1,1,232,9,-1
0,0,1,1,0,0,1,230,2,-1
1,1,1,1,0,0,1,184,3,-1
0,1,0,1,1,0,1,115,5,-1
1,0,0,1,0,0,0,85,5,-1
0,0,1,1,1,1,1,114,8,-1
0,1,0,1,0,1,0,163,2,-1
0,1,1,1,1,0,0,219,1,-1
0,0,0,1,0,1,1,182,5,-1
0,1,0,1,0,0,1,250,3,-1
0,1,1,0,1,1,0,40,9,-1
1,1,1,0,0,1,1,64,3,-1
0,0,1,0,0,0,1,122,8,-1
0,1,0,1,1,1,0,233,9,-1
0,1,0,1,0,1,1,166,6,-1
1,1,0,1,1,0,1,216,4,-1
0,0,0,0,1,0,1,98,7,-1
1,1,1,0,0,0,0,147,1,-1
1,1,0,0,0,0,0,249,7,-1
0,1,0,1,0,0,1,121,7,-1
0,1,0,1,0,1,0,95,5,-1
0,0,1,0,0,0,1,152,8,-1
1,1,1,0,1,1,1,103,8,-1
1,0,1,1,1,1,1,155,9,-1
0,0,0,1,0,1,0,112,9,-1
1,1,1,0,0,0,1,113,8,-1
1,0,1,1,0,1,0,64,2,-1
0,1,1,1,0,1,0,143,2,-1
1,0,1,0,1,0,0,245,9,-1
0,0,0,1,1,1,1,92,3,-1
0,0,0,0,1,0,1,163,6,-1
0,1,0,1,0,1,1,83,6,-1
0,1,0,0,0,1,1,165,6,-1
0,1,0,1,0,1,1,65,2,-1
0,0,0,1,0,1,1,83,4,-1
0,0,1,1,1,1,1,200,5,-1
0,1,0,0,1,1,1,89,9,-1
1,0,1,1,0,1,1,210,6,-1
0,1,0,0,0,0,1,75,8,-1
0,0,0,1,0,1,1,53,9,-1
1,1,1,0,0,1,1,191,1,-1
0,1,1,1,0,1,0,55,1,-1
0,1,0,1,0,0,0,182,1,-1
1,0,0,1,1,0,1,127,7,-1
1,1,0,1,0,1,1,240,5,-1
1,1,0,0,0,0,0,234,5,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,202.0,2.0,3635.85
0,1,1,0,1,0,1,234,6,-1
1,1,0,0,1,1,0,147,9,-1
1,1,1,0,0,1,1,240,4,-1
0,0,0,1,0,1,1,149,8,-1
0,1,0,1,0,0,0,87,8,-1
0,1,1,0,1,1,1,208,2,-1
0,0,1,0,1,0,0,115,4,-1
1,0,0,1,1,0,0,104,2,-1
1,0,1,1,0,0,0,148,9,-1
0,1,1,0,1,1,0,155,5,-1
1,0,1,1,0,0,0,150,9,-1
1,1,0,0,1,0,0,94,8,-1
1.0,0.0,1.0,0.0,0.0,1.0,1.0,210.0,5.0,3693.69
1.0,0.0,0.0,0.0,1.0,1.0,1.0,214.0,5.0,5473.93
1,1,1,1,0,1,1,223,9,-1
1,0,0,1,1,1,0,169,8,-1
1,1,1,1,1,0,1,127,7,-1
1,1,1,0,0,1,0,77,7,-1
0,0,0,1,0,0,0,177,8,-1
1,1,1,1,0,0,1,249,3,-1
1,0,1,1,0,1,1,240,4,-1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,56.0,3.0,5484.1
1,0,0,0,0,0,1,212,5,-1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,137.0,3.0,3661.48
1,1,1,0,1,0,1,81,1,-1
0,1,0,0,0,0,0,64,4,-1
1,0,1,1,1,1,1,96,8,-1
1,1,0,1,1,0,0,98,9,-1
0,0,0,0,1,0,1,41,1,-1
1,1,0,1,1,1,1,235,8,-1
1,1,1,1,1,1,0,91,4,-1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,117.0,2.0,3664.76
1,1,0,0,0,0,1,90,1,-1
1,0,0,1,0,0,1,108,3,-1
0,1,1,1,0,1,1,98,3,-1
1,0,0,1,1,1,0,134,5,-1
0,0,1,1,1,0,1,48,4,-1
0,1,1,0,1,1,0,182,9,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,93.0,6.0,5474.96
0,1,0,1,0,1,0,87,3,-1
0,0,1,1,0,0,1,240,6,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,5.0,3627.4
1,1,1,0,1,0,1,147,4,-1
1,1,0,0,0,1,1,230,1,-1
1,1,0,1,1,1,0,112,9,-1
0,1,1,0,1,0,0,175,5,-1
1,1,1,0,0,1,0,86,1,-1
1.0,0.0,1.0,0.0,1.0,1.0,1.0,207.0,9.0,5537.48
