STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,244.52
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,246.18
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,236.97
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,247.97
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,245.22
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,249.55
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,243.59
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,244.27
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,245.04
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,241.33
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,248.64
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,254.54
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,248.63
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,242.48
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,249.87
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,244.59
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,251.29
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,235.67
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,245.16
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,247.78
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,255.46
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,258.13
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,237.99
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,252.85
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,240.63
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,245.75
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,249.52
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,249.77
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,246.14
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,247.59
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,251.06
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,245.38
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,249.7
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,242.93
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,250.1
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,245.91
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,251.56
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,238.52
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,245.01
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,246.94
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,251.13
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,240
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,256.69
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,244
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,245.49
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,248.61
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,245.37
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,250.53
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,254.93
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,248.38
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,257.34
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,254.1
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,247.45
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,243.72
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,251.13
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,258.46
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,250.01
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,242.41
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,243.64
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,251.15
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,255.34
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,254.35
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,251.76
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,245.08
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,247.98
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,240.86
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,251.58
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,255.93
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,249.78
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,255.88
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,250.27
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,254.53
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,258.16
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,250.17
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,245.46
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,240.73
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,261.6
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,247.75
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,255.28
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,245.56
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,253.73
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,243.42
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,244.93
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,249.01
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,250.65
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,263.38
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,247.93
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,242.67
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,251.85
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,252.73
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,253.88
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,245.87
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,251.94
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,248.49
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,256.28
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,253.8
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,255.06
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,244.35
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,242.81
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,249.33
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,248.73
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,250.27
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,257.37
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,246.9
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,244.05
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,251.12
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,251.14
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,252.82
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,251.75
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,261.2
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,249.46
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,244.54
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,232.95
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,246.52
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,250.56
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,250.75
