StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
8,2,16,434,253,-1
6,5,12,966,72,-1
1,5,18,658,754,-1
5.0,7.0,14.0,267.0,502.0,4066.5703125
1,1,17,174,750,-1
8,4,17,787,864,-1
2,2,14,465,294,-1
1.0,6.0,19.0,367.0,537.0,3943.342529296875
4,4,18,309,649,-1
5,5,19,77,824,-1
3,6,18,653,392,-1
8,1,16,391,530,-1
8,8,16,308,232,-1
5,3,13,957,111,-1
8,4,14,319,77,-1
5,2,14,292,894,-1
9,4,16,929,326,-1
1,3,12,678,373,-1
4.0,8.0,13.0,808.0,632.0,4075.27099609375
4.0,8.0,14.0,878.0,925.0,4319.97509765625
5.0,7.0,19.0,742.0,751.0,4139.560546875
8,9,17,979,291,-1
6,7,14,395,174,-1
9,4,15,893,186,-1
9,2,11,351,359,-1
9.0,8.0,17.0,436.0,542.0,4245.9130859375
3.0,8.0,14.0,285.0,637.0,4204.9013671875
2,3,19,95,142,-1
2,3,14,250,342,-1
3,3,16,337,372,-1
7,1,12,850,429,-1
8,2,15,845,338,-1
7,6,14,997,392,-1
5.0,6.0,13.0,837.0,597.0,4163.64599609375
6,5,19,988,840,-1
5,4,15,47,108,-1
9,2,19,680,915,-1
1,3,18,9,105,-1
4,2,12,670,91,-1
9,6,11,898,241,-1
5,6,12,502,60,-1
2.0,9.0,18.0,523.0,681.0,4299.5791015625
8,2,15,132,116,-1
1,2,11,216,379,-1
6.0,8.0,19.0,717.0,507.0,3934.087158203125
9,2,11,817,627,-1
2,4,13,431,427,-1
4,8,18,562,472,-1
3.0,7.0,19.0,229.0,703.0,4126.4765625
7,6,11,552,202,-1
2.0,6.0,16.0,625.0,742.0,4338.525390625
7,5,11,772,823,-1
8,6,11,196,108,-1
6,5,12,955,977,-1
9,5,13,209,824,-1
7,3,19,569,412,-1
4,7,15,659,122,-1
7,3,19,215,333,-1
5,4,15,923,201,-1
7,7,18,448,454,-1
4,5,13,191,476,-1
2,5,16,310,170,-1
6.0,8.0,13.0,616.0,658.0,4317.55078125
8.0,7.0,13.0,208.0,836.0,3949.34619140625
3,1,18,198,313,-1
3,3,17,343,440,-1
4,8,11,580,131,-1
2.0,6.0,14.0,65.0,588.0,4118.380859375
9.0,6.0,15.0,800.0,915.0,4391.49609375
2,3,19,926,202,-1
7.0,8.0,16.0,702.0,523.0,4036.576416015625
3,2,11,665,138,-1
6,4,14,970,391,-1
5,4,12,224,532,-1
8,1,19,674,53,-1
7,4,15,101,510,-1
5.0,8.0,16.0,705.0,734.0,4219.9052734375
2,1,15,130,141,-1
3,5,16,646,942,-1
1,6,11,670,437,-1
2,3,16,473,944,-1
4,4,19,606,107,-1
8,4,19,636,804,-1
9,5,19,26,340,-1
8,1,17,999,715,-1
8,1,15,610,435,-1
4.0,8.0,12.0,45.0,593.0,3923.258056640625
9.0,8.0,17.0,295.0,904.0,3936.605712890625
1,3,18,894,402,-1
9,1,16,68,233,-1
2,1,14,500,281,-1
6,1,15,528,403,-1
9,2,14,460,372,-1
9,6,15,440,437,-1
9.0,8.0,16.0,163.0,594.0,3950.3828125
2,4,11,705,977,-1
6,6,13,442,464,-1
4,3,12,750,952,-1
8.0,6.0,11.0,302.0,839.0,4061.512939453125
9,5,16,686,247,-1
7,4,18,462,663,-1
6,5,15,952,754,-1
4,5,19,747,653,-1
9,2,16,624,454,-1
9.0,9.0,14.0,616.0,765.0,4320.74365234375
7,4,18,349,146,-1
6.0,6.0,14.0,499.0,987.0,4291.98388671875
8,4,19,570,404,-1
6.0,8.0,19.0,670.0,667.0,4057.579833984375
4,1,15,115,942,-1
4.0,6.0,17.0,179.0,833.0,4228.84130859375
3,1,16,402,919,-1
5,1,11,31,493,-1
7,1,13,478,897,-1
9,8,16,575,222,-1
6,2,13,830,568,-1
7,5,13,504,573,-1
3,8,19,182,242,-1
8,7,13,586,238,-1
8,6,15,162,405,-1
5,4,12,198,700,-1
9,8,16,791,133,-1
2.0,7.0,11.0,84.0,778.0,4326.9052734375
2,2,14,836,10,-1
8,3,16,473,121,-1
9,2,18,879,453,-1
9,1,12,484,74,-1
8,5,18,287,27,-1
9,2,14,126,586,-1
5,2,11,338,783,-1
2,3,16,635,804,-1
6,8,12,922,28,-1
2,1,17,505,921,-1
3,5,14,604,625,-1
1,1,18,260,234,-1
9,5,18,476,639,-1
2.0,6.0,18.0,523.0,741.0,4188.095703125
7,1,17,591,301,-1
1.0,8.0,15.0,719.0,878.0,4409.671875
7,9,14,801,444,-1
9,8,11,136,216,-1
9,4,16,301,507,-1
4,4,16,584,904,-1
7.0,9.0,18.0,990.0,671.0,3869.8837890625
